Date,gross_ret,net_ret,turnover,pos,gross_eq,net_eq
2011-01-20,-0.009512381962760172,-0.009512381962760172,0.0,1.0,2.366739306410813,2.042202028516647
2011-01-21,0.0025163813519153235,0.0025163813519153235,0.0,1.0,2.3726949250663103,2.0473409876180497
2011-01-24,0.004096958684541055,0.004096958684541055,0.0,1.0,2.382415758145327,2.055728859057488
2011-01-25,-0.0021746148394164535,-0.0021746148394164535,0.0,1.0,2.3772349214840043,2.051258440574765
2011-01-26,0.005985839058336033,0.005985839058336033,0.0,1.0,2.3914646671278637,2.0635369434670987
2011-01-27,-0.002298506065036269,-0.002298506065036269,0.0,1.0,2.3859678710861503,2.058793891287113
2011-01-28,-0.005402958347041927,-0.005402958347041927,0.0,1.0,2.3730765860612912,2.047670313647344
2011-01-31,0.0057729238282987665,0.0057729238282987665,0.0,1.0,2.3867761764313427,2.0594913583934993
2011-02-01,0.008003515753757118,0.008003515753757118,0.0,1.0,2.405878777160103,2.075974529925128
2011-02-02,0.0018387383237565467,0.0018387383237565467,0.0,1.0,2.4103025586699798,2.079791703852444
2011-02-03,-0.0007262098173415425,-0.0007262098173415425,0.0,1.0,2.4085521732891104,2.078281338699081
2011-02-04,-0.0004349425835364259,-0.0004349425835364259,0.0,1.0,2.407504591384278,2.0773774056443117
2011-02-07,0.004247257722558591,0.004247257722558591,0.0,1.0,2.4177298838521297,2.086200562873103
2011-02-08,-0.0011252691827050576,-0.0011252691827050576,0.0,1.0,2.415009286921726,2.08385302567076
2011-02-09,0.00010924443077817158,0.00010924443077817158,0.0,1.0,2.4152731132365997,2.084080675008375
2011-02-10,-0.0001929901896034757,-0.0001929901896034757,0.0,1.0,2.4148069892205317,2.083678467883756
2011-02-11,0.00610448570448908,0.00610448570448908,0.0,1.0,2.429548143965329,2.0963982533037044
2011-02-14,2.948302711768458e-05,2.948302711768458e-05,0.0,1.0,2.4296197743991415,2.096460061470256
2011-02-15,-0.0018264607718853907,-0.0018264607718853907,0.0,1.0,2.425182169190604,2.0926309594081562
